Unnamed: 0,UID,source,iso,country,region,subregion,name,giga_id_school,clean,class,ghsl_smod,rurban,dataset,geometry,filepath,c1_dist,c1_norm_dist,c1_prob
12599,OSM-VNM-NON_SCHOOL-00024485,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Điểm BĐVHX Phú Cường,,0,non_school,1,urban,train,POINT (11803076.478201475 2356310.4434969653),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00024485.jpeg,2271.6404099137285,0.0,0.9999897853503275
130,OSM-VNM-NON_SCHOOL-00023742,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Bún Chả Que Tre,,0,non_school,1,urban,train,POINT (11779971.449970389 2395069.9567254777),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00023742.jpeg,43050.49678148708,0.029073561721234157,3.4395159131138006e-09
617,OSM-VNM-NON_SCHOOL-00013508,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Ngân Hàng TMCP Quân Đội MB,,0,non_school,1,urban,train,POINT (11781882.694307819 2390045.020184924),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013508.jpeg,37790.81611406947,0.02532363678158465,3.948839536857836e-09
2170,OSM-VNM-NON_SCHOOL-00002584,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chợ Cần Thơ Bé,,0,non_school,1,urban,train,POINT (11750111.443718472 1144375.7865881096),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00002584.jpeg,1215330.2358352512,0.8648583379635233,1.156246915060532e-10
3019,OSM-VNM-NON_SCHOOL-00009141,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Trường Cây Dừa,,0,non_school,1,urban,train,POINT (11801806.656769997 2370172.3520148527),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00009141.jpeg,11650.014019919858,0.0066863749564438,1.495563406044081e-08
1538,OSM-VNM-NON_SCHOOL-00029202,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11793303.851424228 2300960.1869814596),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00029202.jpeg,58379.38667684057,0.040002397548058184,2.499824620884617e-09
12871,OSM-VNM-NON_SCHOOL-00024310,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,0,urban,train,POINT (11798042.05423035 2446019.8740286124),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00024310.jpeg,87584.77319080924,0.06082457558241504,1.6440555057409697e-09
8313,OSM-VNM-NON_SCHOOL-00006618,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11791281.621554473 2340401.5245818626),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006618.jpeg,21501.019102128852,0.013709715720689571,7.2940227093637164e-09
2184,OSM-VNM-NON_SCHOOL-00022559,OSM,VNM,Viet Nam,Asia,South-eastern Asia,PVOil,,0,non_school,1,urban,train,POINT (11932753.220943507 1165205.0639982445),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00022559.jpeg,1200414.8565532453,0.8542243173279347,1.1706407379753505e-10
2158,OSM-VNM-NON_SCHOOL-00018560,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Ngân Hàng Chính Sách Xã Hội Việt Nam - Vbsp,,0,non_school,1,urban,train,POINT (11806389.680205956 2413259.6227940395),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00018560.jpeg,54814.157239665474,0.037460543084372744,2.6694481722504466e-09
4714,OSM-VNM-NON_SCHOOL-00022091,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Golden dragon,,0,non_school,1,urban,train,POINT (12047754.826533748 1810324.4987310786),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00022091.jpeg,600478.5969394313,0.4264956994933386,2.344665576473133e-10
4829,OSM-VNM-NON_SCHOOL-00017058,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cafe Sen (8th floor),,0,non_school,1,urban,train,POINT (11774584.254532937 2250750.2765333597),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017058.jpeg,111441.83812354726,0.07783363153752418,1.2847785260841214e-09
8409,OSM-VNM-NON_SCHOOL-00025015,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Phúc Long,,0,non_school,1,urban,train,POINT (11874642.888276543 2375091.275377384),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00025015.jpeg,73729.9860449988,0.05094671129049056,1.9628151809166237e-09
247,OSM-VNM-NON_SCHOOL-00007209,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11782019.394642511 2395215.693912193),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00007209.jpeg,42127.690101388805,0.028415640451296166,3.519152712905194e-09
129,OSM-VNM-NON_SCHOOL-00017687,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Quán Cơm Lực,,0,non_school,1,urban,train,POINT (12119538.198296374 1673078.7363189894),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00017687.jpeg,755128.9760615752,0.5367547342649515,1.8630292782297327e-10
10818,OSM-VNM-NON_SCHOOL-00011861,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nhà hàng Hà Phong,,0,non_school,1,urban,train,POINT (11806292.498290496 2412670.595754026),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00011861.jpeg,54220.05015661688,0.037036970417433604,2.6999772696841502e-09
7777,OSM-VNM-NON_SCHOOL-00027085,OSM,VNM,Viet Nam,Asia,South-eastern Asia,HĐND UBND tỉnh Hưng Yên,,0,non_school,1,urban,train,POINT (11805942.39849195 2350793.4802488564),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00027085.jpeg,8385.7801979017,0.004359117354311998,2.294018905962598e-08
8438,OSM-VNM-NON_SCHOOL-00006812,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12119097.484432321 1691043.6902778572),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006812.jpeg,738670.4922621931,0.5250205468169477,1.9046679053277407e-10
5036,OSM-VNM-NON_SCHOOL-00023123,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Quán Chiều Biên giới,,0,non_school,0,urban,train,POINT (11981411.972244661 1484265.855843306),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00023123.jpeg,892358.1522926968,0.6345932044946083,1.5757965545646556e-10
12801,OSM-VNM-NON_SCHOOL-00007207,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11780802.895247124 2399306.9601598894),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00007207.jpeg,46296.851206330655,0.03138807208610758,3.1858910589383846e-09
8913,OSM-VNM-NON_SCHOOL-00010890,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cơm,,0,non_school,1,urban,train,POINT (11806605.640018096 2354112.5942716827),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00010890.jpeg,5863.3572729896605,0.0025607388533001835,3.9050828826639214e-08
1947,OSM-VNM-NON_SCHOOL-00015038,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Trạm Xăng Dầu Caltex,,0,non_school,1,urban,train,POINT (11790533.443256855 2392027.5184722026),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00015038.jpeg,35637.34995766816,0.02378830850650417,4.203702759585486e-09
12956,OSM-VNM-NON_SCHOOL-00006578,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11921786.469988517 2457467.5710791),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006578.jpeg,154733.0004142673,0.10869835877201803,9.199676938340167e-10
5422,OSM-VNM-NON_SCHOOL-00028402,OSM,VNM,Viet Nam,Asia,South-eastern Asia,VPBank,,0,non_school,1,urban,train,POINT (11770983.9595617 2392321.8059981354),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00028402.jpeg,46380.732156521175,0.03144787557741637,3.1798325445188942e-09
9731,OSM-VNM-NON_SCHOOL-00006593,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11836151.836625466 2386075.798131182),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006593.jpeg,43243.19879749816,0.029210949928133695,3.4233387972223282e-09
12828,OSM-VNM-NON_SCHOOL-00023074,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Bưu cục Thọ Vinh,,0,non_school,1,urban,train,POINT (11798517.72241451 2362585.485876802),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00023074.jpeg,5866.769908202499,0.002563171914678572,3.901376027920345e-08
246,OSM-VNM-NON_SCHOOL-00013088,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cafe Tố Như,,0,non_school,1,urban,train,POINT (11832947.95036094 2296956.800187765),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013088.jpeg,68592.84946906641,0.047284154990483725,2.1148517583463865e-09
7424,OSM-VNM-NON_SCHOOL-00022252,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Milk tea & coffee Tôm Tít,,0,non_school,1,urban,train,POINT (11728042.911266161 2304550.414858063),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00022252.jpeg,92219.60610200693,0.06412901108407486,1.5593407209725616e-09
4383,OSM-VNM-NON_SCHOOL-00007758,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11782850.839919247 2397042.5190989166),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00007758.jpeg,43337.582132123774,0.029278241165526183,3.415470814251984e-09
12762,OSM-VNM-NON_SCHOOL-00005590,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11849903.133323155 2351971.763154766),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00005590.jpeg,47572.88892789253,0.032297831818416146,3.0961514317007006e-09
1599,OSM-VNM-NON_SCHOOL-00012861,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cửa hàng chị Hà,,0,non_school,0,urban,train,POINT (11806046.70485482 2327572.998624641),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00012861.jpeg,31161.57756774725,0.020597276280321593,4.854961242864645e-09
7995,OSM-VNM-NON_SCHOOL-00026239,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Thành Công,,0,non_school,1,urban,train,POINT (11935855.138554458 1164863.7078652151),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00026239.jpeg,1201093.9024065754,0.8547084476661779,1.1699776549112733e-10
7127,OSM-VNM-NON_SCHOOL-00018792,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Bonafide,,0,non_school,0,urban,train,POINT (11832537.73803737 2319015.84131358),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00018792.jpeg,49487.58392928619,0.03366292658206338,2.9705966887399367e-09
8610,OSM-VNM-NON_SCHOOL-00009071,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Mái ấm tình thương,,0,non_school,1,urban,train,POINT (11852780.296882197 2542335.0366845303),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00009071.jpeg,190449.3706604024,0.13416258673730552,7.453566668053155e-10
6119,OSM-VNM-NON_SCHOOL-00029960,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Cháo lòng bánh hỏi Ngân Sơn,,0,non_school,1,urban,train,POINT (12157231.200517956 1496793.369638687),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00029960.jpeg,931814.0871488451,0.6627235803652979,1.508909317287662e-10
2760,OSM-VNM-NON_SCHOOL-00006466,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nhà Hàng Bia Hơi Hải Xồm,,0,non_school,1,urban,train,POINT (11782218.65653103 2388392.610108769),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006466.jpeg,36233.98824443963,0.02421368581227368,4.129853624819022e-09
8647,OSM-VNM-NON_SCHOOL-00027341,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chùa Xưa,,0,non_school,0,urban,train,POINT (11827045.345681122 2388514.44925487),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00027341.jpeg,38540.88952607198,0.025858406698636895,3.867174776610913e-09
6242,OSM-VNM-NON_SCHOOL-00006607,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11796525.326168291 2391704.8571098973),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006607.jpeg,33727.773247661105,0.02242686286335164,4.458892833047754e-09
380,OSM-VNM-NON_SCHOOL-00004887,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Pizza Hut Hạ Long,,0,non_school,1,urban,train,POINT (11920623.626587687 2386021.5619917335),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00004887.jpeg,120991.24842968582,0.08464194826438673,1.181435215840418e-09
3167,OSM-VNM-NON_SCHOOL-00019710,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nhà Hàng Sio Sushi,,0,non_school,1,urban,train,POINT (11780095.682522113 2393820.5061573368),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00019710.jpeg,41928.835608062225,0.02827386579404253,3.5367989262516497e-09
