Unnamed: 0,UID,source,iso,country,region,subregion,name,giga_id_school,clean,class,ghsl_smod,rurban,dataset,geometry,filepath,c2_dist,c2_prob
12930,OSM-VNM-NON_SCHOOL-00010904,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Hương Quê,,0,non_school,1,urban,train,POINT (11906027.526274366 1245135.3876558535),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00010904.jpeg,132137.83411566657,0.00011035667365255313
28,OSM-VNM-NON_SCHOOL-00013224,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Café,,0,non_school,1,urban,train,POINT (11804048.965273047 1159025.1719701574),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00013224.jpeg,6533.807598166307,0.002231821432995682
6192,OSM-VNM-NON_SCHOOL-00024853,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Chợ Thông Dụng,,0,non_school,1,urban,train,POINT (11882776.22423237 1224845.2595392053),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00024853.jpeg,101361.78605158383,0.00014386380118871196
3366,OSM-VNM-NON_SCHOOL-00008451,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12158899.434406986 1532441.0016196396),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00008451.jpeg,512992.2483269229,2.84259496789993e-05
11263,OSM-VNM-NON_SCHOOL-00004604,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11758840.672908518 1171235.7059571513),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00004604.jpeg,42720.116166623295,0.00034134485448920096
2188,OSM-VNM-NON_SCHOOL-00014757,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Mỹ Dung - Bún cá Nha Trang,,0,non_school,1,urban,train,POINT (11868734.940261165 1217390.4301929784),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00014757.jpeg,85662.9055682696,0.0001702287791888679
13183,OSM-VNM-NON_SCHOOL-00011363,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Minh Tam Quán,,0,non_school,1,urban,train,POINT (11835185.360806396 1166629.1522936008),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00011363.jpeg,34151.80735635146,0.00042698448385179846
9902,OSM-VNM-NON_SCHOOL-00009699,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Nhà Hàng Hương Phố,,0,non_school,2,urban,train,POINT (11875953.00736369 1212686.590837526),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00009699.jpeg,88852.17022517527,0.00016411857807977412
8405,OSM-VNM-NON_SCHOOL-00016010,OSM,VNM,Viet Nam,Asia,South-eastern Asia,caffe benly,,0,non_school,1,urban,train,POINT (11890179.860926053 1218469.4584169153),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00016010.jpeg,103991.73002949172,0.00014022549516699376
13522,OSM-VNM-NON_SCHOOL-00008247,OSM,VNM,Viet Nam,Asia,South-eastern Asia,HL 11,,0,non_school,1,urban,train,POINT (11873508.097387398 1190189.7879575782),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00008247.jpeg,76734.19281557166,0.0001900364270685157
12388,OSM-VNM-NON_SCHOOL-00001078,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11857768.189306175 1230366.2241823366),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00001078.jpeg,86640.00804707166,0.00016830898525234698
5987,OSM-VNM-NON_SCHOOL-00006017,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11794271.4404382 2294009.0582126514),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00006017.jpeg,1129184.0327464354,1.2914008180925422e-05
7266,OSM-VNM-NON_SCHOOL-00014143,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Thiền Thất Liễu Nguyên,,0,non_school,1,urban,train,POINT (11914023.605298048 1196083.6052790764),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00014143.jpeg,117183.77758361987,0.00012443950977986007
3613,OSM-VNM-NON_SCHOOL-00022015,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (11974962.677545553 1860945.358007388),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00022015.jpeg,717488.7234011738,2.032407111227076e-05
6829,OSM-VNM-NON_SCHOOL-00027103,OSM,VNM,Viet Nam,Asia,South-eastern Asia,Starbucks,,0,non_school,0,urban,train,POINT (11880537.700592013 1201586.0694590067),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00027103.jpeg,87540.65506851391,0.00016657736711297102
938,OSM-VNM-NON_SCHOOL-00005365,OSM,VNM,Viet Nam,Asia,South-eastern Asia,,,0,non_school,1,urban,train,POINT (12039205.155682353 1592815.2779077403),/mnt/ssd1/agorup/school_mapping/satellite_images/large/VNM/non_school/OSM-VNM-NON_SCHOOL-00005365.jpeg,489756.67310972104,2.9774564875384407e-05
